occid,url,resourcename,locus
211800,https://www.ncbi.nlm.nih.gov/nuccore/MT765854,GenBank Record,"Angelica lucida Tracey & V. Call 2507 (OBI081640) ndhF-rpl32 intergenic spacer, partial sequence."
211800,https://www.ncbi.nlm.nih.gov/nuccore/MT766050,GenBank Record,"Angelica lucida Tracey & V. Call 2507 (OBI081640) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence."
211800,https://www.ncbi.nlm.nih.gov/nuccore/MT766205,GenBank Record,"Angelica lucida Tracey & V. Call 2507 (OBI081640) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence."
198762,https://www.ncbi.nlm.nih.gov/nuccore/JF951103,GenBank Record,"Phalaris lemmonii isolate LEM25383 trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; plastid."
196156,https://www.ncbi.nlm.nih.gov/nuccore/OK157416,GenBank Record,"Nemacladus secundiflorus var. secundiflorus voucher OBI:29532 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
196156,https://www.ncbi.nlm.nih.gov/nuccore/OK136165,GenBank Record,"Nemacladus secundiflorus var. secundiflorus voucher OBI:DKeil29532 atpB-rbcL intergenic spacer region, partial sequence; chloroplast."
184474,https://www.ncbi.nlm.nih.gov/nuccore/MW025106,GenBank Record,"Fritillaria ojaiensis voucher OBI75168 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence."
175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604492,GenBank Record,"Cirsium scariosum var. scariosum voucher OBI 60356 external transcribed spacer, partial sequence."
175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604582,GenBank Record,"Cirsium scariosum var. scariosum voucher OBI 60356 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604638,GenBank Record,"Cirsium scariosum var. scariosum voucher OBI 60356 maturase K (matK) gene, partial cds; chloroplast."
175596,https://www.ncbi.nlm.nih.gov/nuccore/MN617272,GenBank Record,"Cirsium scariosum var. scariosum voucher OBI 60356 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175596,https://www.ncbi.nlm.nih.gov/nuccore/MN617332,GenBank Record,"Cirsium scariosum var. scariosum voucher OBI 60356 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast."
175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604496,GenBank Record,"Cirsium undulatum voucher OBI 60365 external transcribed spacer, partial sequence."
175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604610,GenBank Record,"Cirsium undulatum voucher OBI 60365 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175596,https://www.ncbi.nlm.nih.gov/nuccore/MN604651,GenBank Record,"Cirsium undulatum voucher OBI 60365 maturase K (matK) gene, partial cds; chloroplast."
175596,https://www.ncbi.nlm.nih.gov/nuccore/MN617276,GenBank Record,"Cirsium undulatum voucher OBI 60365 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175596,https://www.ncbi.nlm.nih.gov/nuccore/MN617335,GenBank Record,"Cirsium undulatum voucher OBI 60365 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast."
175592,https://www.ncbi.nlm.nih.gov/nuccore/MN275437,GenBank Record,"Cirsium scariosum var. citrinum voucher OBI 29634F photosystem II protein D1 (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175592,https://www.ncbi.nlm.nih.gov/nuccore/MN314906,GenBank Record,"Cirsium scariosum var. citrinum voucher OBI 29634F tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast."
175592,https://www.ncbi.nlm.nih.gov/nuccore/MN335162,GenBank Record,"Cirsium scariosum var. citrinum voucher OBI 29634F internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175592,https://www.ncbi.nlm.nih.gov/nuccore/MN230952,GenBank Record,"Cirsium scariosum var. citrinum voucher OBI 29634F external transcribed spacer, partial sequence."
175581,https://www.ncbi.nlm.nih.gov/nuccore/MN604493,GenBank Record,"Cirsium scariosum var. toiyabense voucher OBI 60380 external transcribed spacer, partial sequence."
175581,https://www.ncbi.nlm.nih.gov/nuccore/MN604583,GenBank Record,"Cirsium scariosum var. toiyabense voucher OBI 60380 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175581,https://www.ncbi.nlm.nih.gov/nuccore/MN604639,GenBank Record,"Cirsium scariosum var. toiyabense voucher OBI 60380 maturase K (matK) gene, partial cds; chloroplast."
175581,https://www.ncbi.nlm.nih.gov/nuccore/MN617273,GenBank Record,"Cirsium scariosum var. toiyabense voucher OBI 60380 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175581,https://www.ncbi.nlm.nih.gov/nuccore/MN617333,GenBank Record,"Cirsium scariosum var. toiyabense voucher OBI 60380 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast."
175526,https://www.ncbi.nlm.nih.gov/nuccore/MN604487,GenBank Record,"Cirsium ochrocentrum voucher OBI 60392 external transcribed spacer, partial sequence."
175526,https://www.ncbi.nlm.nih.gov/nuccore/MN604571,GenBank Record,"Cirsium ochrocentrum voucher OBI 60392 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175526,https://www.ncbi.nlm.nih.gov/nuccore/MN604674,GenBank Record,"Cirsium ochrocentrum voucher OBI 60392 maturase K (matK) gene, partial cds; chloroplast."
175526,https://www.ncbi.nlm.nih.gov/nuccore/MN617259,GenBank Record,"Cirsium ochrocentrum voucher OBI 60392 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175526,https://www.ncbi.nlm.nih.gov/nuccore/MN617341,GenBank Record,"Cirsium ochrocentrum voucher OBI 60392 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast."
175241,https://www.ncbi.nlm.nih.gov/nuccore/MN230951,GenBank Record,"Cirsium fontinale var. campylon voucher OBI 27922 external transcribed spacer, partial sequence."
175241,https://www.ncbi.nlm.nih.gov/nuccore/MN275341,GenBank Record,"Cirsium fontinale var. campylon voucher OBI 27922 maturase K (matK) gene, partial cds; chloroplast."
175241,https://www.ncbi.nlm.nih.gov/nuccore/MN275438,GenBank Record,"Cirsium fontinale var. campylon voucher OBI 27922 photosystem II protein D1 (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175241,https://www.ncbi.nlm.nih.gov/nuccore/MN314905,GenBank Record,"Cirsium fontinale var. campylon voucher OBI 27922 tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast."
175241,https://www.ncbi.nlm.nih.gov/nuccore/MN335163,GenBank Record,"Cirsium fontinale var. campylon voucher OBI 27922 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175241,https://www.ncbi.nlm.nih.gov/nuccore/MN230952,GenBank Record,"Cirsium scariosum var. citrinum voucher OBI 29634F external transcribed spacer, partial sequence."
175222,https://www.ncbi.nlm.nih.gov/nuccore/MN604514,GenBank Record,"Cirsium eatonii var. eatonii voucher OBI 64116 external transcribed spacer, partial sequence."
175222,https://www.ncbi.nlm.nih.gov/nuccore/MN604550,GenBank Record,"Cirsium eatonii var. eatonii voucher OBI 64116 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175222,https://www.ncbi.nlm.nih.gov/nuccore/MN604666,GenBank Record,"Cirsium eatonii var. eatonii voucher OBI 64116 maturase K (matK) gene, partial cds; chloroplast."
175222,https://www.ncbi.nlm.nih.gov/nuccore/MN617234,GenBank Record,"Cirsium eatonii var. eatonii voucher OBI 64116 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175222,https://www.ncbi.nlm.nih.gov/nuccore/MN617310,GenBank Record,"Cirsium eatonii var. eatonii voucher OBI 64116 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast."
175203,https://www.ncbi.nlm.nih.gov/nuccore/MN230934,GenBank Record,"Cirsium cymosum var. canovirens voucher OBI 30302-8 external transcribed spacer, partial sequence."
175203,https://www.ncbi.nlm.nih.gov/nuccore/MN275314,GenBank Record,"Cirsium cymosum var. canovirens voucher OBI 30302-8 maturase K (matK) gene, partial cds; chloroplast."
175203,https://www.ncbi.nlm.nih.gov/nuccore/MN275448,GenBank Record,"Cirsium cymosum var. canovirens voucher OBI 30302-8 photosystem II protein D1 (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175203,https://www.ncbi.nlm.nih.gov/nuccore/MN314894,GenBank Record,"Cirsium cymosum var. canovirens voucher OBI 30302-8 tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast."
175203,https://www.ncbi.nlm.nih.gov/nuccore/MN335114,GenBank Record,"Cirsium cymosum var. canovirens voucher OBI 30302-8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175187,https://www.ncbi.nlm.nih.gov/nuccore/MN604465,GenBank Record,"Cirsium eatonii var. clokeyi voucher OBI 62978 external transcribed spacer, partial sequence."
175187,https://www.ncbi.nlm.nih.gov/nuccore/MN604549,GenBank Record,"Cirsium eatonii var. clokeyi voucher OBI 62978 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175187,https://www.ncbi.nlm.nih.gov/nuccore/MN604665,GenBank Record,"Cirsium eatonii var. clokeyi voucher OBI 62978 maturase K (matK) gene, partial cds; chloroplast."
175187,https://www.ncbi.nlm.nih.gov/nuccore/MN617233,GenBank Record,"Cirsium eatonii var. clokeyi voucher OBI 62978 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175187,https://www.ncbi.nlm.nih.gov/nuccore/MN617309,GenBank Record,"Cirsium eatonii var. clokeyi voucher OBI 62978 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast."
175185,https://www.ncbi.nlm.nih.gov/nuccore/MN604450,GenBank Record,"Cirsium ciliolatum voucher OBI 60321 external transcribed spacer, partial sequence."
175185,https://www.ncbi.nlm.nih.gov/nuccore/MN604539,GenBank Record,"Cirsium ciliolatum voucher OBI 60321 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175185,https://www.ncbi.nlm.nih.gov/nuccore/MN604661,GenBank Record,"Cirsium ciliolatum voucher OBI 60321 maturase K (matK) gene, partial cds; chloroplast."
175185,https://www.ncbi.nlm.nih.gov/nuccore/MN617219,GenBank Record,"Cirsium ciliolatum voucher OBI 60321 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175185,https://www.ncbi.nlm.nih.gov/nuccore/MN617296,GenBank Record,"Cirsium ciliolatum voucher OBI 60321 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast."
175101,https://www.ncbi.nlm.nih.gov/nuccore/MN604445,GenBank Record,"Cirsium arizonicum var. tenuisectum voucher OBI 62969 external transcribed spacer, partial sequence."
175101,https://www.ncbi.nlm.nih.gov/nuccore/MN604609,GenBank Record,"Cirsium arizonicum var. tenuisectum voucher OBI 62969 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
175101,https://www.ncbi.nlm.nih.gov/nuccore/MN604612,GenBank Record,"Cirsium arizonicum var. tenuisectum voucher OBI 62969 maturase K (matK) gene, partial cds; chloroplast."
175101,https://www.ncbi.nlm.nih.gov/nuccore/MN617214,GenBank Record,"Cirsium arizonicum var. tenuisectum voucher OBI 62969 psbA (psbA) gene, partial cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; chloroplast."
175101,https://www.ncbi.nlm.nih.gov/nuccore/MN617291,GenBank Record,"Cirsium arizonicum var. tenuisectum voucher OBI 62969 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast."
166210,https://www.ncbi.nlm.nih.gov/nuccore/MT735442,GenBank Record,"Angelica lineariloba voucher Tracey & V. Call 2043 (OBI081607) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence."
166210,https://www.ncbi.nlm.nih.gov/nuccore/MT765840,GenBank Record,"Angelica lineariloba Tracey & V. Call 2043 (OBI081607) ndhF-rpl32 intergenic spacer, partial sequence."
166210,https://www.ncbi.nlm.nih.gov/nuccore/MT766019,GenBank Record,"Angelica lineariloba Tracey & V. Call 2043 (OBI081607) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence."
166210,https://www.ncbi.nlm.nih.gov/nuccore/MT766157,GenBank Record,"Angelica lineariloba Tracey & V. Call 2043 (OBI081607) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence."
166209,https://www.ncbi.nlm.nih.gov/nuccore/MT735448,GenBank Record,"Angelica lineariloba voucher Tracey & V. Call 2321 (OBI09033) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence."
166209,https://www.ncbi.nlm.nih.gov/nuccore/MT765844,GenBank Record,"Angelica lineariloba Tracey & V. Call 2321 (OBI09033) ndhF-rpl32 intergenic spacer, partial sequence."
166209,https://www.ncbi.nlm.nih.gov/nuccore/MT766023,GenBank Record,"Angelica lineariloba Tracey & V. Call 2321 (OBI09033) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence."
166209,https://www.ncbi.nlm.nih.gov/nuccore/MT766159,GenBank Record,"Angelica lineariloba Tracey & V. Call 2321 (OBI09033) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence."
166208,https://www.ncbi.nlm.nih.gov/nuccore/MT707551,GenBank Record,"Lomatium dissectum voucher D. Keilet al. 30299 (OBI068349) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence."
166208,https://www.ncbi.nlm.nih.gov/nuccore/MT765778,GenBank Record,"Lomatium dissectum D. Keilet al. 30299 (OBI068349) ndhF-rpl32 intergenic spacer, partial sequence."
166208,https://www.ncbi.nlm.nih.gov/nuccore/MT766091,GenBank Record,"Lomatium dissectum D. Keilet al. 30299 (OBI068349) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence."
166208,https://www.ncbi.nlm.nih.gov/nuccore/MT766279,GenBank Record,"Lomatium dissectum D. Keilet al. 30299 (OBI068349) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence."
166207,https://www.ncbi.nlm.nih.gov/nuccore/MT735443,GenBank Record,"Angelica lineariloba voucher D. Keil 21070 (OBI071409) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence."
166207,https://www.ncbi.nlm.nih.gov/nuccore/MT765841,GenBank Record,"Angelica lineariloba D. Keil 21070 (OBI071409) ndhF-rpl32 intergenic spacer, partial sequence."
166207,https://www.ncbi.nlm.nih.gov/nuccore/MT766022,GenBank Record,"Angelica lineariloba D. Keil 21070 (OBI071409) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence."
166207,https://www.ncbi.nlm.nih.gov/nuccore/MT766158,GenBank Record,"Angelica lineariloba D. Keil 21070 (OBI071409) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence."
166204,https://www.ncbi.nlm.nih.gov/nuccore/MT735454,GenBank Record,"Angelica hendersonii voucher Tracey & V. Call 2071 (OBI09030) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence."
166204,https://www.ncbi.nlm.nih.gov/nuccore/MT765781,GenBank Record,"Angelica hendersonii Tracey & V. Call 2071 (OBI09030) ndhF-rpl32 intergenic spacer, partial sequence."
166204,https://www.ncbi.nlm.nih.gov/nuccore/MT765974,GenBank Record,"Angelica hendersonii Tracey & V. Call 2071 (OBI09030) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence."
166204,https://www.ncbi.nlm.nih.gov/nuccore/MT766139,GenBank Record,"Angelica hendersonii Tracey & V. Call 2071 (OBI09030) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence."
166203,https://www.ncbi.nlm.nih.gov/nuccore/MT735455,GenBank Record,"Angelica hendersonii voucher Tracey & V. Call 2490 (OBI09031) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence."
166203,https://www.ncbi.nlm.nih.gov/nuccore/MT765790,GenBank Record,"Angelica hendersonii Tracey & V. Call 2490 (OBI09031) ndhF-rpl32 intergenic spacer, partial sequence."
166203,https://www.ncbi.nlm.nih.gov/nuccore/MT765975,GenBank Record,"Angelica hendersonii Tracey & V. Call 2490 (OBI09031) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence."
166203,https://www.ncbi.nlm.nih.gov/nuccore/MT766140,GenBank Record,"Angelica hendersonii Tracey & V. Call 2490 (OBI09031) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence."
